Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
209155_HY5CNBGXT_TCDM_2_E04_A27_3_2_o_GCGAAT_S29_R1_001	89.35	5503700.0
209156_HY5CNBGXT_TCDM_2_F04_X5_66_3_o_TGGATT_S30_R1_001	90.77	5705134.0
209157_HY5CNBGXT_TCDM_2_G04_C17_3_1_i_ACCTAC_S31_R1_001	78.02	4241200.0
209158_HY5CNBGXT_TCDM_2_H04_C17_3_1_o_CGAAGG_S32_R1_001	85.93	5924037.0
209159_HY5CNBGXT_TCDM_2_A05_C17_3_2_i_AGATAG_S33_R1_001	86.34	4469031.0
209160_HY5CNBGXT_TCDM_2_B05_C17_3_2_o_TTGGTA_S34_R1_001	84.91	4550145.0
209161_HY5CNBGXT_TCDM_2_C05_X5_66_2_i_GTTACC_S35_R1_001	87.24	4320291.0
209162_HY5CNBGXT_TCDM_2_D05_X5_66_1_i_CGCAAC_S36_R1_001	86.1	4533598.0
209163_HY5CNBGXT_TCDM_2_E05_C17_3_3_o_TGGCGA_S37_R1_001	90.43	4063803.0
209164_HY5CNBGXT_TCDM_2_F05_A03_3_2_o_ACCGTG_S38_R1_001	89.1	4540366.0
209165_HY5CNBGXT_TCDM_2_G05_X5_66_3_i_CAACAG_S39_R1_001	90.15	4190839.0
209166_HY5CNBGXT_TCDM_2_H05_X5_66_1_o_GATTGT_S40_R1_001	81.06	906151.0
209167_HY5CNBGXT_TCDM_2_A06_X5_66_2_o_CTCTCG_S41_R1_001	84.53	4540026.0
209168_HY5CNBGXT_TCDM_2_B06_A27_3_2_i_TGACAC_S42_R1_001	81.55	3621617.0
209169_HY5CNBGXT_TCDM_2_C06_C64_3_1_o_AAGACA_S43_R1_001	86.42	4278079.0
209170_HY5CNBGXT_TCDM_2_D06_X9_35_2_i_ACAGAT_S44_R1_001	85.77	4794582.0
209171_HY5CNBGXT_TCDM_2_E06_C64_3_1_i_TAGGCT_S45_R1_001	83.21	4774020.0
209172_HY5CNBGXT_TCDM_2_F06_C14_3_1_o_CTCCAT_S46_R1_001	87.73	5015879.0
