cassava protein ID,EC number,Annotated function,transcript ID (Phytozome),EC number (Phytozome) ,Abbreviation,Description,Cassava gene name(s),Function category,Citations,Location,Genes with  related TFBS,Cellular component
,,,,,,Phytoene synthase 2 (PSY2),Manes.01G124200,Carotenoid synthesis,,,,
,,,,,,Phytoene synthase,Manes.02G081700,Carotenoid synthesis,,,,
,,,,,,Phytoene synthase,Manes.03G084700,Carotenoid synthesis,,,,
,,,,,,Zeta-carotene isomerase,Manes.01G001200,Carotenoid synthesis,,,,
,,,,,,ADP-glc PPase,Manes.12G067900,Starch synthesis,,,,
,,,,,,β-carotene hydroxylase,Manes.02G018300,Carotenoid synthesis,,,,
,,,,,,β-carotene hydroxylase,Manes.06G152200,Carotenoid synthesis,,,,
,,,,,,β-carotene hydroxylase,Manes.14G022700,Carotenoid synthesis,,,,
,,,,,,Orange (Or),Manes.14G040800,"Carotenoid synthesis, chromoplast formation",,,,
,,,,,,Orange (Or),Manes.06G130100,"Carotenoid synthesis, chromoplast formation",,,,
,,,,,,Orange (Or),Manes.14G040300,"Carotenoid synthesis, chromoplast formation",,,,
,,,,,,Orange (Or),Manes.09G053200,"Carotenoid synthesis, chromoplast formation",,,,
,,,,,,Lycopene-ϵ-cyclase (LCYϵ),Manes.16G099600,Carotenoid synthesis,,,,
,,,,,,Carotenoid cleavage dioxygenase (CCD4),,Apocarotenoid synthesis,,,,
,,,,,,1-deoxy-d-xylulose 5-phosphate synthase (DXS),,Carotenoid synthesis,,,,
,,,,,,phytoene desaturase (PDS),Manes.05G193700,Carotenoid synthesis,,,,
,,,,,,phytoene desaturase (PDS),Manes.16G135300,Carotenoid synthesis,,,,
,,,,,,ζ-carotene desaturase (ZDS),Manes.08G128100,Carotenoid synthesis,,,,
,,,,,,ζ-carotene desaturase (ZDS),Manes.09G155800,Carotenoid synthesis,,,,,
,,,,,,Carotenoid isomerase (CRTISO),Manes.07G025600,Carotenoid synthesis,,,,
,,,,,,Carotenoid isomerase (CRTISO),Manes.08G037100,Carotenoid synthesis,,,,
,,,,,,Lycopene-β-cyclase (LCYβ),Manes.09G008200,Carotenoid synthesis,,,,
,,,,,,Lycopene-β-cyclase (LCYβ),Manes.12G071600,Carotenoid synthesis,,,,
,,,,,,Zeaxanthin epoxidase (ZEP),Manes.13G124100,Carotenoid synthesis,,,,
,,,,,,Violaxanthin de-epoxidase (VDE),Manes.09G144600,Carotenoid synthesis,,,,
,,,,,,Violaxanthin de-epoxidase (VDE),Manes.12G144300,Carotenoid synthesis,,,,
,,,,,,Neoxanthin synthase (NSY),Manes.02G068600,Carotenoid synthesis,,,,
,,,,,,Neoxanthin synthase (NSY),Manes.11G163700,Carotenoid synthesis,,,,
,,,,,,9-cis-epoxycarotenoid dioxygenase (NCED),Manes.03G150400,Apocarotenoid synthesis,,,,
,,,,,,9-cis-epoxycarotenoid dioxygenase (NCED),Manes.03G057800,Apocarotenoid synthesis,,,,
,,,,,,9-cis-epoxycarotenoid dioxygenase (NCED),Manes.03G057900,Apocarotenoid synthesis,,,,
,,,,,,9-cis-epoxycarotenoid dioxygenase (NCED),Manes.03G058000,Apocarotenoid synthesis,,,,
,,,,,,9-cis-epoxycarotenoid dioxygenase (NCED),Manes.03G083500,Apocarotenoid synthesis,,,,
,,,,,,9-cis-epoxycarotenoid dioxygenase (NCED),Manes.15G050500,Apocarotenoid synthesis,,,,
,,,,,,9-cis-epoxycarotenoid dioxygenase (NCED),Manes.15G102000,Apocarotenoid synthesis,,,,
,,,,,,9-cis-epoxycarotenoid dioxygenase (NCED),Manes.15G122400,Apocarotenoid synthesis,,,,
,,,,,,9-cis-epoxycarotenoid dioxygenase (NCED),Manes.15G183500,Apocarotenoid synthesis,,,,
,,,,,,9-cis-epoxycarotenoid dioxygenase (NCED),Manes.16G076200,Apocarotenoid synthesis,,,,
,,,,,,9-cis-epoxycarotenoid dioxygenase (NCED),Manes.76G071200,Apocarotenoid synthesis,,,,
,,,,,,aldehyde oxidase (AAO),Manes.04G057100,Apocarotenoid synthesis,,,,
,,,,,,aldehyde oxidase (AAO),Manes.11G105300,Apocarotenoid synthesis,,,,
,,,,,,aldehyde oxidase (AAO),Manes.06G165500,Apocarotenoid synthesis,,,,
,,,,,,aldehyde oxidase (AAO),Manes.04G051100,Apocarotenoid synthesis,,,,
,,,,,,Starch synthase,Manes.01G091700,Starch synthesis,,,,
,,,,,,Starch synthase,Manes.01G184000,Starch synthesis,,,,
,,,,,,Starch synthase,Manes.02G046900,Starch synthesis,,,,
,,,,,,Starch synthase,Manes.02G082800,Starch synthesis,,,,
,,,,,,Starch synthase,Manes.13G105300,Starch synthesis,,,,
,,,,,,Starch synthase,Manes.15G118600,Starch synthesis,,,,
,,,,,,Starch synthase,Manes.16G006900,Starch synthesis,,,,
,,,,,,Starch synthase,Manes.S044400,Starch synthesis,,,,
,,,,,,Granule-bound starch synthase,Manes.01G055700,Starch synthesis,,,,
,,,,,,Granule-bound starch synthase,Manes.02G001000,Starch synthesis,,,,
,,,,,,Isoamylase,Manes.05G073400,Starch synthesis / starch degradation,,,,
,,,,,,Isoamylase,Manes.06G054000,Starch synthesis / starch degradation,,,,
,,,,,,Isoamylase,Manes.18G063500,Starch synthesis / starch degradation,,,,
,,,,,,ADP-glc PPase / G1P Adenyltransferase,Manes.01G236700,Starch synthesis,,,,
,,,,,,ADP-glc PPase / G1P Adenyltransferase,Manes.03G182100,Starch synthesis,,,,
,,,,,,ADP-glc PPase / G1P Adenyltransferase,Manes.05G208000,Starch synthesis,,,,
,,,,,,ADP-glc PPase / G1P Adenyltransferase,Manes.11G085500,Starch synthesis,,,,
,,,,,,ADP-glc PPase / G1P Adenyltransferase,Manes.12G067900,Starch synthesis,,,,
,,,,,,ADP-glc PPase / G1P Adenyltransferase,Manes.13G058900,Starch synthesis,,,,
,,,,,,ADP-glc PPase / G1P Adenyltransferase,Manes.15G025400,Starch synthesis,,,,
