tube_number,sample_ID,sample_weight_g,date_extracted,technician,note
318,307_X4_32_rt3_o,0.241,8/15/24,SV,
319,314_X5_66_rt1_i,0.252,6/13/24,SV,
320,314_X5_66_rt1_o,0.256,6/13/24,SV,
321,314_X5_66_rt2_i,0.244,7/11/24,KG,
322,314_X5_66_rt2_o,0.24,7/11/24,KG,
323,314_X5_66_rt3_i,0.252,6/20/24,KG,still appeared wet after long dry down
324,314_X5_66_rt3_o,0.251,6/13/24,SV,
325,318_A04_rt1_i,0.255,6/20/24,KG,
326,318_A04_rt1_o,0.245,6/20/24,KG,
327,318_A04_rt2_i,0.238,7/8/24,SV,
328,318_A04_rt2_o,0.244,6/13/24,SV,
329,318_A04_rt3_i,0.253,6/20/24,SV,
330,318_A04_rt3_o,0.245,6/20/24,KG,
331,405_X1_34_rt1_i,0.249,6/13/24,SV,
332,405_X1_34_rt1_o,0.252,6/20/24,KG,
333,405_X1_34_rt2_i,0.25,6/20/24,KG,
334,405_X1_34_rt2_o,0.253,6/13/24,SV,
335,405_X1_34_rt3_i,0.256,6/20/24,KG,
336,405_X1_34_rt3_o,0.257,6/13/24,SV,
337,408_X4_46_rt1_i,0.248,6/20/24,KG,
338,408_X4_46_rt1_o,0.232,7/11/24,SV,
339,408_X4_46_rt2_i,0.244,6/13/24,SV,
340,408_X4_46_rt2_o,0.247,6/20/24,KG,
341,408_X4_46_rt3_i,0.244,6/13/24,SV,
342,408_X4_46_rt3_o,0.222,7/11/24,SV,
343,411_C17_rt1_i,0.251,6/20/24,KG,still appeared wet after long dry down
344,411_C17_rt1_o,0.221,7/11/24,SV,
345,411_C17_rt2_i,0.244,6/13/24,SV,
346,411_C17_rt2_o,0.254,6/13/24,SV,
347,411_C17_rt3_i,0.249,6/13/24,SV,
348,411_C17_rt3_o,0.249,6/20/24,KG,
349,414_X8_41.5_rt1_i,0.252,6/20/24,KG,
350,414_X8_41.5_rt1_o,0.242,6/20/24,KG,pink
351,414_X8_41.5_rt2_i,0.246,6/20/24,KG,still appeared wet after long dry down
352,414_X8_41.5_rt2_o,0.19,7/11/24,SV,
353,414_X8_41.5_rt3_i,0.256,6/20/24,KG,
354,414_X8_41.5_rt3_o,0.238,7/11/24,SV,
355,420_A03_rt1_i,0.254,6/20/24,KG,
356,420_A03_rt1_o,0.25,6/20/24,KG,
357,420_A03_rt2_i,0.251,6/20/24,KG,
358,420_A03_rt2_o,0.25,6/20/24,SV,
359,420_A03_rt3_i,0.247,6/13/24,SV,
360,420_A03_rt3_o,0.242,6/20/24,KG,
361,105_X5_66_rt1_i,0.243,7/16/24,KG,
362,105_X5_66_rt1_o,0.243,8/7/24,SV,
363,105_X5_66_rt2_i,0.244,7/16/24,KG,
364,105_X5_66_rt2_o,0.247,8/7/24,SV,
