Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
3_D03_115_X1_54_rt2_o_10479813_22MM3HLT4_L3_R2_trimmed2	38.01022745675752	39.0	114.16308818538661	127	18.181818181818183	29012494.0
3_D04_302_C17_rt1_i_10479813_22MM3HLT4_L3_R1_trimmed2	88.4431408674607	38.0	107.26891956010745	112	18.181818181818183	22542596.0
3_D04_302_C17_rt1_i_10479813_22MM3HLT4_L3_R2_trimmed2	35.70648928639298	38.0	114.07727211187212	127	18.181818181818183	22542596.0
3_D05_219_X2_24_rt2_o_10479813_22MM3HLT4_L3_R1_trimmed2	90.95581464557975	34.0	113.1582396638358	122	27.27272727272727	28547002.0
3_D05_219_X2_24_rt2_o_10479813_22MM3HLT4_L3_R2_trimmed2	31.709322687379498	35.0	116.86058826772774	132	18.181818181818183	28547002.0
3_D06_320_X2_24_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2	34.88273323580765	39.0	94.43995092256147	97	18.181818181818183	42382.0
3_D06_320_X2_24_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2	14.652446793450054	40.0	103.56122882355717	107	36.36363636363637	42382.0
3_D07_303_X11_68_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2	84.38700360988364	38.0	91.27050522676416	87	27.27272727272727	12851833.0
3_D07_303_X11_68_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2	26.178171328981676	38.0	103.07577596129673	107	27.27272727272727	12851833.0
3_D08_105_X5_66_rt1_i_10479813_22MM3HLT4_L3_R1_trimmed2	89.88411461201989	40.0	104.79390726179986	107	27.27272727272727	23654783.0
3_D08_105_X5_66_rt1_i_10479813_22MM3HLT4_L3_R2_trimmed2	39.91225707577504	40.0	112.90857798188215	122	27.27272727272727	23654783.0
3_D09_107_X4_32_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	89.61414646650168	36.0	99.36633305519966	102	36.36363636363637	25064686.0
3_D09_107_X4_32_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	34.4222641263479	37.0	109.66472650006467	117	18.181818181818183	25064686.0
3_D10_118_C14_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2	86.21438356450082	36.0	111.33001434304435	122	18.181818181818183	34740184.0
3_D10_118_C14_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2	27.54348723581319	37.0	115.45048379709215	127	18.181818181818183	34740184.0
3_D11_210_X11_68_rt2_o_10479813_22MM3HLT4_L3_R1_trimmed2	87.14730753650387	47.0	85.68270827407277	87	45.45454545454545	15043027.0
