Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
4_A04_317_X4_42_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2	4_A04_317_X4_42_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12556351.0	1.4 Gbp	0.0	18-151	36.0	65.48116225650384	115.57108685477174	132	pass	warn	warn	pass	fail	fail	pass	warn	warn	warn	pass
4_A05_220_X10_39_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2	4_A05_220_X10_39_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9578109.0	1.1 Gbp	0.0	18-139	37.0	25.81112299182024	121.85559519107582	137	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass
4_A05_220_X10_39_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2	4_A05_220_X10_39_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9578109.0	1.1 Gbp	0.0	18-151	36.0	79.10072277588306	118.32012435857642	132	pass	warn	warn	pass	fail	fail	pass	warn	pass	warn	pass
4_A06_407_X2_24_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2	4_A06_407_X2_24_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15971546.0	1.8 Gbp	0.0	18-139	37.0	22.608463167792454	116.54934043329305	137	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
4_A06_407_X2_24_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2	4_A06_407_X2_24_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15971546.0	1.8 Gbp	0.0	18-151	36.0	75.74546871934193	115.42283671223812	132	pass	warn	warn	pass	fail	fail	pass	warn	pass	warn	pass
4_A07_418_X5_36_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2	4_A07_418_X5_36_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13649010.0	1.6 Gbp	0.0	18-139	37.0	21.842316450518943	116.54355956952189	137	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
4_A07_418_X5_36_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2	4_A07_418_X5_36_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13649010.0	1.5 Gbp	0.0	18-151	36.0	69.35034799385267	114.32010490138113	132	pass	warn	warn	pass	fail	fail	pass	warn	warn	warn	pass
4_A08_218_X8_415_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2	4_A08_218_X8_415_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15483340.0	1.8 Gbp	0.0	18-139	37.0	19.67767587776666	119.24917911768391	137	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass
4_A08_218_X8_415_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2	4_A08_218_X8_415_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15483340.0	1.8 Gbp	0.0	18-151	37.0	78.13866850662498	117.86719125201668	132	pass	warn	warn	pass	fail	fail	pass	warn	pass	warn	pass
4_A09_313_X1_54_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2	4_A09_313_X1_54_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26564255.0	3 Gbp	0.0	18-139	38.0	16.31752798918989	113.63585860021296	132	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
4_A09_313_X1_54_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2	4_A09_313_X1_54_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26564255.0	2.9 Gbp	0.0	18-151	37.0	60.55512604348002	112.4622999214546	127	pass	warn	warn	pass	fail	fail	pass	warn	warn	warn	pass
