Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
209111_HY55YBGXT_TCDM_1_A11_A04_2_2_i_GCAGCC_S81_R1_001										11.922317630498783	3.7698825966267	6.424291823781143	1.9492669422683	3.0792147559291276	0.35184587295784187	0.26884812960085747
209112_HY55YBGXT_TCDM_1_B11_A20_2_2_o_ACTCTT_S82_R1_001										12.124716926270088	3.887327292223054	6.976802130498072	2.256146144426728	2.8862666305249434	1.0496078570564527	0.31142166716377223
209113_HY55YBGXT_TCDM_1_C11_C17_2_1_i_TGCTAT_S83_R1_001										12.90919960254428	4.208903447234884	7.270411702546582	2.7447400049775155	3.4409066034231275	1.050055893922333	0.0
209114_HY55YBGXT_TCDM_1_D11_A03_2_3_i_AAGTGG_S84_R1_001										13.346895455265715	4.255536792577397	6.630305239525729	1.9771218642497375	2.7259912974075173	0.0	0.0
209115_HY55YBGXT_TCDM_1_E11_C14_2_3_i_CTCATA_S85_R1_001										11.77737173291439	3.741259269507159	7.298270431301946	2.2773033856724383	4.495590274323895	1.3735486719090968	0.0
209116_HY55YBGXT_TCDM_1_F11_C14_2_1_i_CCGACC_S86_R1_001										11.210794551861989	3.485024661800224	6.644810665948104	2.029261634448174	2.6436796653777526	1.0669471924861116	0.1897684827995185
209117_HY55YBGXT_TCDM_1_G11_A20_2_3_o_GGCCAA_S87_R1_001										11.311177112762032	3.496725867671461	6.6782744229601425	2.233642606261418	3.410988685544188	1.02276532379112	0.6177026628943445
209118_HY55YBGXT_TCDM_1_H11_C14_2_2_i_AGACCA_S88_R1_001										12.72898269576305	4.020523725637879	7.105838294795489	2.1355237071464126	3.5359554616670077	0.6870454954772083	0.0
209119_HY55YBGXT_TCDM_1_A12_C14_2_3_o_CGCGGA_S89_R1_001										12.240431875901898	3.4925589709332963	5.750533289142923	2.0384435854990093	1.9150988841678436	0.40722558275811654	0.0
209120_HY55YBGXT_TCDM_1_B12_C17_2_2_i_CCTGCT_S90_R1_001										12.391811091458743	4.186338921594066	8.22304468488456	3.065497068065665	4.728050604253376	1.7474318277607914	1.3616800651300944
209121_HY55YBGXT_TCDM_1_C12_A03_2_3_o_GCGCTG_S91_R1_001										12.136430461977938	3.5832026828089845	5.672853612475497	1.4791748383278045	2.0810696153285493	0.1740094379144556	0.0
209122_HY55YBGXT_TCDM_1_D12_C17_2_3_i_GAACCT_S92_R1_001										11.71074296539389	3.743906734141763	7.851517603579665	2.6670032501666605	4.067376275080874	1.429100771500866	0.25382330338900727
209123_HY55YBGXT_TCDM_1_E12_A03_2_2_o_TTCGAG_S93_R1_001										11.960127972728852	3.510381958665347	5.9972126451856225	1.8668670901336646	3.182891181254028	0.7910464582999108	0.0
209124_HY55YBGXT_TCDM_1_F12_C17_2_2_o_AGAATC_S94_R1_001										11.701242538317134	3.569510917252679	6.2175089377841966	1.9469626783732048	2.943262318132731	0.5774169603361208	0.0
209125_HY55YBGXT_TCDM_1_G12_X8_415_3_i_AGGCAT_S95_R1_001										11.863519750578732	3.80133009256408	6.694296576363201	2.356997574528968	3.7930939030486424	0.4957264827700632	0.2788427689384971
209126_HY55YBGXT_TCDM_1_H12_X8_415_3_o_ACACGC_S96_R1_001										10.889112909051748	3.4950340151227257	6.870565272952922	2.174745487274815	3.8342100947345124	1.0580038587909446	0.5855793636225548
209127_HY5CNBGXT_TCDM_2_A01_X4_46_1_o_CAGCGT_S1_R1_001										11.108753513585484	2.9035340507116714	4.614840765259601	1.3337792421290382	0.8958794553292407	0.0	0.0
