Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
209152_HY5CNBGXT_TCDM_2_B04_X4_32_2_o_AACGCC_S26_trim1	5.4711829700098065	37.0	74.79075124781366	84	9.090909090909092	46882.0
209153_HY5CNBGXT_TCDM_2_C04_A27_3_1_o_CAAGCA_S27_trim1	49.248274303016935	37.0	82.96245061601833	86	9.090909090909092	5296758.0
209154_HY5CNBGXT_TCDM_2_D04_A27_3_3_o_GCTCGA_S28_trim1	47.29132033063523	38.0	83.27769832515244	86	9.090909090909092	5161007.0
209155_HY5CNBGXT_TCDM_2_E04_A27_3_2_o_GCGAAT_S29_trim1	47.76435710540091	38.0	82.85173254029101	86	0.0	6205974.0
209156_HY5CNBGXT_TCDM_2_F04_X5_66_3_o_TGGATT_S30_trim1	52.1929572067973	37.0	81.13577201092909	86	18.181818181818183	6332093.0
209157_HY5CNBGXT_TCDM_2_G04_C17_3_1_i_ACCTAC_S31_trim1	53.93855269044468	40.0	81.56641771027023	86	27.27272727272727	5480210.0
209158_HY5CNBGXT_TCDM_2_H04_C17_3_1_o_CGAAGG_S32_trim1	51.130583333385424	39.0	81.43941654440125	86	27.27272727272727	6950726.0
209159_HY5CNBGXT_TCDM_2_A05_C17_3_2_i_AGATAG_S33_trim1	44.65303353336739	39.0	81.96870035996767	86	0.0	5225747.0
209160_HY5CNBGXT_TCDM_2_B05_C17_3_2_o_TTGGTA_S34_trim1	44.6687029325397	39.0	82.55655921563668	86	0.0	5409534.0
209161_HY5CNBGXT_TCDM_2_C05_X5_66_2_i_GTTACC_S35_trim1	47.086331365914646	38.0	82.18091129016135	86	0.0	5001700.0
209162_HY5CNBGXT_TCDM_2_D05_X5_66_1_i_CGCAAC_S36_trim1	48.98981579649261	39.0	82.874708687542	86	0.0	5314311.0
209163_HY5CNBGXT_TCDM_2_E05_C17_3_3_o_TGGCGA_S37_trim1	45.058138397942734	38.0	82.69528496169747	86	9.090909090909092	4522678.0
209164_HY5CNBGXT_TCDM_2_F05_A03_3_2_o_ACCGTG_S38_trim1	46.742839597268436	38.0	82.69432335768059	86	9.090909090909092	5131995.0
209165_HY5CNBGXT_TCDM_2_G05_X5_66_3_i_CAACAG_S39_trim1	44.89096009511332	38.0	83.36168445795758	86	9.090909090909092	4686469.0
209166_HY5CNBGXT_TCDM_2_H05_X5_66_1_o_GATTGT_S40_trim1	37.348226369745774	41.0	72.84051685912964	82	18.181818181818183	1150178.0
209167_HY5CNBGXT_TCDM_2_A06_X5_66_2_o_CTCTCG_S41_trim1	43.89248675011832	39.0	81.96070877307929	86	9.090909090909092	5421312.0
209168_HY5CNBGXT_TCDM_2_B06_A27_3_2_i_TGACAC_S42_trim1	45.542219861923186	39.0	81.26704646327646	86	0.0	4500479.0
209169_HY5CNBGXT_TCDM_2_C06_C64_3_1_o_AAGACA_S43_trim1	42.327417756384044	38.0	82.23366195773927	86	0.0	5007439.0
209170_HY5CNBGXT_TCDM_2_D06_X9_35_2_i_ACAGAT_S44_trim1	50.165110725400844	38.0	81.68028047730348	86	9.090909090909092	5657784.0
209171_HY5CNBGXT_TCDM_2_E06_C64_3_1_i_TAGGCT_S45_trim1	48.82488830356536	39.0	82.0444816269588	86	9.090909090909092	5788862.0
209172_HY5CNBGXT_TCDM_2_F06_C14_3_1_o_CTCCAT_S46_trim1	44.766076688957156	38.0	82.56574808081882	86	0.0	5771081.0
209173_HY5CNBGXT_TCDM_2_G06_X9_35_2_o_GCATGG_S47_trim1	46.15875712058166	38.0	82.76365137617086	86	9.090909090909092	5336147.0
209174_HY5CNBGXT_TCDM_2_H06_C64_3_2_o_AATAGC_S48_trim1	45.56977920553661	38.0	81.17752054758655	86	0.0	6263996.0
