Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
209076_HY55YBGXT_TCDM_1_F06_X5_31_3_o_CTCCAT_S46_trim1	209076_HY55YBGXT_TCDM_1_F06_X5_31_3_o_CTCCAT_S46_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	124490.0	8.3 Mbp	0.0	20-86	48.0	71.72704634910436	67.03629207165234	78	pass	pass	warn	pass	warn	fail	pass	warn	pass	fail	pass
209077_HY55YBGXT_TCDM_1_G06_X5_31_2_o_GCATGG_S47_trim1	209077_HY55YBGXT_TCDM_1_G06_X5_31_2_o_GCATGG_S47_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	164456.0	11 Mbp	0.0	20-86	49.0	68.8217192469664	66.59580678114511	76	pass	pass	warn	pass	warn	fail	pass	warn	warn	warn	pass
209078_HY55YBGXT_TCDM_1_H06_C64_1_3_i_AATAGC_S48_trim1	209078_HY55YBGXT_TCDM_1_H06_C64_1_3_i_AATAGC_S48_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7730778.0	570.6 Mbp	0.0	20-86	44.0	49.50542067689693	73.44023719216875	82	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
209079_HY55YBGXT_TCDM_1_A07_A20_1_2_i_GTGCCA_S49_trim1	209079_HY55YBGXT_TCDM_1_A07_A20_1_2_i_GTGCCA_S49_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6661123.0	498.7 Mbp	0.0	20-86	42.0	51.625840623135474	74.51689362289211	84	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
209080_HY55YBGXT_TCDM_1_B07_A20_1_3_i_TCGAGG_S50_trim1	209080_HY55YBGXT_TCDM_1_B07_A20_1_3_i_TCGAGG_S50_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7218495.0	569.1 Mbp	0.0	20-86	42.0	50.29881706006112	78.52539206579765	84	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
209081_HY55YBGXT_TCDM_1_C07_A20_1_3_o_CACTAA_S51_trim1	209081_HY55YBGXT_TCDM_1_C07_A20_1_3_o_CACTAA_S51_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6771523.0	519.1 Mbp	0.0	20-86	40.0	52.14410972840686	76.32281098358523	84	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
209082_HY55YBGXT_TCDM_1_D07_A27_1_3_o_GGTATA_S52_trim1	209082_HY55YBGXT_TCDM_1_D07_A27_1_3_o_GGTATA_S52_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7470032.0	582.8 Mbp	0.0	20-86	41.0	53.8414328885835	77.69071270377422	84	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
209083_HY55YBGXT_TCDM_1_E07_A27_1_1_o_CGCCTG_S53_trim1	209083_HY55YBGXT_TCDM_1_E07_A27_1_1_o_CGCCTG_S53_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6527164.0	507.4 Mbp	0.0	20-86	44.0	47.25187192610721	77.38848939600722	84	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
209084_HY55YBGXT_TCDM_1_F07_X5_31_1_i_AATGAA_S54_trim1	209084_HY55YBGXT_TCDM_1_F07_X5_31_1_i_AATGAA_S54_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6911496.0	529.2 Mbp	0.0	20-86	44.0	48.99581840063076	76.21647961599052	84	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
209085_HY55YBGXT_TCDM_1_G07_X11_57_1_i_ACAACG_S55_trim1	209085_HY55YBGXT_TCDM_1_G07_X11_57_1_i_ACAACG_S55_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6901981.0	532.2 Mbp	0.0	20-86	43.0	48.326439791878435	76.767705387772	84	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
209086_HY55YBGXT_TCDM_1_H07_X2_45_2_i_ATATCC_S56_trim1	209086_HY55YBGXT_TCDM_1_H07_X2_45_2_i_ATATCC_S56_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6231254.0	465.1 Mbp	0.0	20-86	42.0	50.273464574938295	74.27692949123885	84	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
209087_HY55YBGXT_TCDM_1_A08_X2_45_2_o_AGTACT_S57_trim1	209087_HY55YBGXT_TCDM_1_A08_X2_45_2_o_AGTACT_S57_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7780588.0	604.7 Mbp	0.0	20-86	44.0	49.82442585685264	77.37675147431017	84	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
209088_HY55YBGXT_TCDM_1_B08_X2_45_1_i_ATAAGA_S58_trim1	209088_HY55YBGXT_TCDM_1_B08_X2_45_1_i_ATAAGA_S58_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8108183.0	629 Mbp	0.0	20-86	40.0	47.43325428684215	77.2432679430151	84	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
209089_HY55YBGXT_TCDM_1_C08_X2_45_3_o_GGTGAG_S59_trim1	209089_HY55YBGXT_TCDM_1_C08_X2_45_3_o_GGTGAG_S59_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7665843.0	587.6 Mbp	0.0	20-86	41.0	51.131615310457256	76.31609308982718	84	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
209090_HY55YBGXT_TCDM_1_D08_X2_45_3_i_TTCCGC_S60_trim1	209090_HY55YBGXT_TCDM_1_D08_X2_45_3_i_TTCCGC_S60_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8468076.0	664.1 Mbp	0.0	20-86	39.0	46.99398753026587	78.11210716578358	86	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
209091_HY55YBGXT_TCDM_1_E08_X2_45_1_o_GAAGTG_S61_trim1	209091_HY55YBGXT_TCDM_1_E08_X2_45_1_o_GAAGTG_S61_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16144.0	1.1 Mbp	0.0	20-86	43.0	91.19796828543112	72.53790882061448	84	pass	pass	fail	pass	warn	fail	pass	warn	pass	warn	warn
