gene_id	colors
Manes.01G102000.v8.1	grey
Manes.01G102100.v8.1	red
Manes.01G102300.v8.1	brown
Manes.01G102400.v8.1	grey
Manes.01G102500.v8.1	grey
Manes.01G102700.v8.1	turquoise
Manes.01G103000.v8.1	turquoise
Manes.01G103100.v8.1	turquoise
Manes.01G103200.v8.1	turquoise
Manes.01G103300.v8.1	grey
Manes.01G103400.v8.1	turquoise
Manes.01G103500.v8.1	turquoise
Manes.01G103600.v8.1	blue
Manes.01G103800.v8.1	grey
Manes.01G104000.v8.1	blue
Manes.01G104100.v8.1	turquoise
Manes.01G104200.v8.1	red
Manes.01G104300.v8.1	turquoise
Manes.01G104400.v8.1	green
Manes.01G104600.v8.1	grey
Manes.01G104700.v8.1	blue
Manes.01G104800.v8.1	yellow
Manes.01G104801.v8.1	grey
Manes.01G105100.v8.1	turquoise
Manes.01G105300.v8.1	magenta
Manes.01G105400.v8.1	grey
Manes.01G105500.v8.1	blue
Manes.01G105600.v8.1	grey
Manes.01G106000.v8.1	yellow
Manes.01G106150.v8.1	turquoise
Manes.01G106300.v8.1	grey
Manes.01G106400.v8.1	grey
Manes.01G106500.v8.1	grey
Manes.01G106600.v8.1	turquoise
Manes.01G106800.v8.1	turquoise
Manes.01G106900.v8.1	blue
Manes.01G107000.v8.1	turquoise
Manes.01G107100.v8.1	turquoise
Manes.01G107200.v8.1	grey
Manes.01G107300.v8.1	grey
Manes.01G107400.v8.1	turquoise
Manes.01G107500.v8.1	grey
Manes.01G107600.v8.1	grey
Manes.01G107700.v8.1	grey
Manes.01G107800.v8.1	pink
Manes.01G108000.v8.1	grey
Manes.01G108100.v8.1	turquoise
Manes.01G108300.v8.1	turquoise
Manes.01G108500.v8.1	grey
Manes.01G108600.v8.1	turquoise
Manes.01G108700.v8.1	turquoise
Manes.01G108800.v8.1	grey
Manes.01G108900.v8.1	turquoise
Manes.01G109100.v8.1	turquoise
Manes.01G109200.v8.1	pink
Manes.01G109300.v8.1	grey
Manes.01G109600.v8.1	grey
Manes.01G109700.v8.1	grey
Manes.01G109800.v8.1	grey
Manes.01G110000.v8.1	lightcyan
Manes.01G110300.v8.1	grey
Manes.01G110400.v8.1	grey
Manes.01G110800.v8.1	grey
Manes.01G110900.v8.1	blue
Manes.01G111200.v8.1	brown
Manes.01G111300.v8.1	turquoise
Manes.01G111400.v8.1	turquoise
Manes.01G111600.v8.1	turquoise
Manes.01G111700.v8.1	grey
Manes.01G111800.v8.1	salmon
Manes.01G112000.v8.1	grey
Manes.01G112100.v8.1	black
Manes.01G112200.v8.1	turquoise
Manes.01G112300.v8.1	brown
Manes.01G112900.v8.1	turquoise
Manes.01G113000.v8.1	grey
Manes.01G113200.v8.1	turquoise
Manes.01G113300.v8.1	grey
Manes.01G113700.v8.1	blue
Manes.01G113800.v8.1	turquoise
Manes.01G113900.v8.1	black
Manes.01G114300.v8.1	turquoise
Manes.01G114800.v8.1	turquoise
Manes.01G114900.v8.1	grey
Manes.01G115200.v8.1	grey
Manes.01G115300.v8.1	tan
Manes.01G115400.v8.1	purple
Manes.01G115500.v8.1	green
Manes.01G115700.v8.1	turquoise
Manes.01G115800.v8.1	brown
Manes.01G115900.v8.1	grey
Manes.01G116000.v8.1	grey
Manes.01G116100.v8.1	grey
Manes.01G116200.v8.1	turquoise
Manes.01G116300.v8.1	turquoise
Manes.01G116400.v8.1	grey
Manes.01G116600.v8.1	brown
Manes.01G116700.v8.1	grey
Manes.01G116900.v8.1	cyan
Manes.01G117300.v8.1	blue
Manes.01G117600.v8.1	red
Manes.01G117900.v8.1	turquoise
Manes.01G118000.v8.1	grey
Manes.01G118100.v8.1	blue
Manes.01G118200.v8.1	turquoise
Manes.01G118300.v8.1	turquoise
Manes.01G118400.v8.1	green
Manes.01G118500.v8.1	turquoise
Manes.01G118700.v8.1	brown
Manes.01G118800.v8.1	blue
Manes.01G118900.v8.1	grey
Manes.01G119000.v8.1	tan
Manes.01G119001.v8.1	blue
Manes.01G119400.v8.1	grey
Manes.01G119500.v8.1	purple
