Sample_Name,Sample_Title,Isolate,Organism,Cultivar,Development_stage,Collection_date,Geographic_location,Tissue
TCDM2_A03_3_3_o,A03_3_3_o,3_o,Manihot esculenta,HIL16A003,5 MAP,5/26/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_X4_32_2_i,X4_32_2_i,2_i,Manihot esculenta,ITH21F004P032,5 MAP,5/26/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_C14_3_2_i,C14_3_2_i,2_i,Manihot esculenta,HIL16C014,5 MAP,5/26/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_X4_32_3_i,X4_32_3_i,3_i,Manihot esculenta,ITH21F004P032,5 MAP,5/26/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_X4_32_3_o,X4_32_3_o,3_o,Manihot esculenta,ITH21F004P032,5 MAP,5/26/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_A04_3_2_o,A04_3_2_o,2_o,Manihot esculenta,HIL16A004,5 MAP,5/26/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_X4_32_1_i,X4_32_1_i,1_i,Manihot esculenta,ITH21F004P032,5 MAP,5/26/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_A04_3_2_i,A04_3_2_i,2_i,Manihot esculenta,HIL16A004,5 MAP,5/26/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_A04_3_1_o,A04_3_1_o,1_o,Manihot esculenta,HIL16A004,5 MAP,5/26/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_C14_3_3_o,C14_3_3_o,3_o,Manihot esculenta,HIL16C014,5 MAP,5/26/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_C14_3_1_i,C14_3_1_i,1_i,Manihot esculenta,HIL16C014,5 MAP,5/26/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_A04_3_3_o,A04_3_3_o,3_o,Manihot esculenta,HIL16A004,5 MAP,5/26/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_A27_3_3_i,A27_3_3_i,3_i,Manihot esculenta,HIL16A027,5 MAP,5/26/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_C14_3_3_i,C14_3_3_i,3_i,Manihot esculenta,HIL16C014,5 MAP,5/26/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_A03_3_1_i,A03_3_1_i,1_i,Manihot esculenta,HIL16A003,5 MAP,5/26/22,"Ithaca, NY, USA",Storage root inner layer
