"","tubeID","mean_ng.uL","mean_ratio","mean_230","sd_ng.uL","sd_ratio","sd_230","na.rm","sample_ID","SampleID","plate","QCcheck","genotype","root","uL_to_pipet","water_to_pipet","final_conc","block"
"54","plate1.3_70",563.08,2.134,1.0108563685,11.6531197539543,0.0212132034355963,0.0110806750952836,TRUE,"70","X5_31_3_o","plate1.3","PASS","X5_31","X5_31_3",25,0,469.233333333333,1
"55","plate1.3_71",733.44,2.152,1.0595029555,17.5928167159213,0.0325269119345811,0.0161244239248669,TRUE,"71","X5_31_2_o","plate1.3","PASS","X5_31","X5_31_2",20.4515706806283,4.54842931937173,500,1
"56","plate1.4_73",214.8,2.1295,NA,6.22253967444161,0.00212132034355941,NA,TRUE,"73","X10_39_2_i","plate1.4","PASS","X10_39","X10_39_2",25,0,179,4
"57","plate1.4_74",634.4,2.1245,NA,67.8822509939086,0.00212132034355941,NA,TRUE,"74","A20_1_2_i","plate1.4","PASS","A20_1","A20_1_2",23.6443883984868,1.35561160151324,500,1
"58","plate1.4_75",246,2.1565,NA,94.4694659665228,0.00212132034355972,NA,TRUE,"75","X2_24_3_o","plate1.4","PASS","X2_24","X2_24_3",25,0,205,4
"59","plate1.4_78",341.2,2.133,NA,18.6676190233248,0.0169705627484772,NA,TRUE,"78","X8_41.5_2_o","plate1.4","PASS","X8_41.5","X8_41.5_2",25,0,284.333333333333,3
"60","plate1.4_79",555.2,2.142,NA,4.52548339959389,0.0183847763108501,NA,TRUE,"79","A20_1_3_i","plate1.4","PASS","A20_1","A20_1_3",25,0,462.666666666667,1
"61","plate1.4_80",450.8,2.1635,NA,6.22253967444163,0.000707106781186784,NA,TRUE,"80","X8_41.5_3_o","plate1.4","PASS","X8_41.5","X8_41.5_3",25,0,375.666666666667,3
"62","plate1.4_81",548.4,2.191,NA,20.9303607231218,0,NA,TRUE,"81","A20_1_3_o","plate1.4","PASS","A20_1","A20_1_3",25,0,457,1
"63","plate1.4_83",153.6,2.12,NA,5.65685424949238,0.0579827560572968,NA,TRUE,"83","X2_24_2_i","plate1.4","PASS","X2_24","X2_24_2",25,0,128,4
"64","plate1.4_84",392,2.109,NA,126.713535188629,0.0509116882454315,NA,TRUE,"84","X10_39_3_o","plate1.4","PASS","X10_39","X10_39_3",25,0,326.666666666667,4
"65","plate1.4_85",188.8,2.1595,NA,7.91959594928934,0.0120208152801716,NA,TRUE,"85","A27_1_1_o","plate1.4","PASS","A27_1","A27_1_1",25,0,157.333333333333,1
"66","plate1.4_87",244.4,2.1595,NA,6.22253967444163,0.00636396103067917,NA,TRUE,"87","X5_31_1_i","plate1.4","PASS","X5_31","X5_31_1",25,0,203.666666666667,1
"67","plate1.4_90",545.6,2.087,NA,15.8391918985786,0.0438406204335658,NA,TRUE,"90","X10_39_2_o","plate1.4","PASS","X10_39","X10_39_2",25,0,454.666666666667,4
"68","plate1.4_91",140.8,2.013,NA,1.13137084989847,0.127279220613579,NA,TRUE,"91","X4_46_1_i","plate1.4","PASS","X4_46","X4_46_1",25,0,117.333333333333,3
"69","plate1.4_92",375.6,2.0925,NA,10.7480230740355,0.0120208152801712,NA,TRUE,"92","X2_24_1_i","plate1.4","PASS","X2_24","X2_24_1",25,0,313,4
"70","plate1.4_94",331.2,2.1435,NA,4.52548339959389,0.00636396103067917,NA,TRUE,"94","X11_57_1_i","plate1.4","PASS","X11_57","X11_57_1",25,0,276,1
"71","plate1.4_96",248.4,2.148,NA,9.61665222413704,0.0226274169979695,NA,TRUE,"96","X10_39_3_i","plate1.4","PASS","X10_39","X10_39_3",25,0,207,4
"72","plate2.1_10",672.52,2.122,NA,58.4353043972563,0.00282842712474619,NA,TRUE,"10","C64_4_1_o","plate2.1","PASS","C64_4","C64_4_1",22.3041693927318,2.69583060726819,500,4
"73","plate2.1_13",814.72,2.1875,NA,66.5246059740304,0.000707106781186784,NA,TRUE,"13","X5_36_2_o","plate2.1","PASS","X5_36","X5_36_2",18.4112333071485,6.58876669285153,500,4
"74","plate2.1_16",333.88,2.171,NA,2.77185858225124,0.00282842712474619,NA,TRUE,"16","A27_4_1_i","plate2.1","PASS","A27_4","A27_4_1",25,0,278.233333333333,4
"75","plate2.1_17",823.68,2.0625,NA,65.6195092941117,0.0855599205235726,NA,TRUE,"17","A03_2_1_o","plate2.1","PASS","A03_2","A03_2_1",18.2109557109557,6.78904428904429,500,2
"76","plate2.1_18",747.72,2.1765,NA,59.340401077175,0.0219203102167831,NA,TRUE,"18","A27_4_1_o","plate2.1","PASS","A27_4","A27_4_1",20.0609853956026,4.93901460439737,500,4
"77","plate2.1_2",321.24,2.286,NA,54.8149176775811,0.0424264068711929,NA,TRUE,"2","A20_2_3_o","plate2.1","PASS","A20_2","A20_2_3",25,0,267.7,2
"78","plate2.1_20",1566.04,1.9945,NA,29.698484809835,0.0148492424049174,NA,TRUE,"20","A27_4_2_o","plate2.1","PASS","A27_4","A27_4_2",9.57829940486833,15.4217005951317,500,4
"79","plate2.1_21",1046.4,2.089,NA,17.3099740034467,0.00141421356237294,NA,TRUE,"21","X4_24_1_o","plate2.1","PASS","X4_24","X4_24_1",14.3348623853211,10.6651376146789,500,4
"80","plate2.1_22",764.92,2.1285,NA,56.1725626974593,0.0318198051533946,NA,TRUE,"22","A27_4_2_i","plate2.1","PASS","A27_4","A27_4_2",19.609893845108,5.39010615489202,500,4
"81","plate2.1_24",938.12,2.1025,NA,17.819090885901,0.0176776695296639,NA,TRUE,"24","X4_24_2_o","plate2.1","PASS","X4_24","X4_24_2",15.9894256598303,9.0105743401697,500,4
"82","plate2.1_3",288.36,2.1195,NA,25.6255497502005,0.00777817459305211,NA,TRUE,"3","X5_36_3_i","plate2.1","PASS","X5_36","X5_36_3",25,0,240.3,4
"83","plate2.1_4",277.24,2.1185,NA,17.0271312909721,0.00353553390593266,NA,TRUE,"4","C64_4_2_i","plate2.1","PASS","C64_4","C64_4_2",25,0,231.033333333333,4
"84","plate2.1_6",396.04,2.159,NA,15.6694862710939,0.0579827560572971,NA,TRUE,"6","X5_36_2_i","plate2.1","PASS","X5_36","X5_36_2",25,0,330.033333333333,4
"85","plate2.1_7",162.64,2.1585,NA,3.62038671967511,0.0148492424049174,NA,TRUE,"7","C64_4_1_i","plate2.1","PASS","C64_4","C64_4_1",25,0,135.533333333333,4
"86","plate2.1_9",295.84,2.1495,NA,3.95979797464464,0.0134350288425442,NA,TRUE,"9","C64_4_2_o","plate2.1","PASS","C64_4","C64_4_2",25,0,246.533333333333,4
"87","plate2.2_25",588.28,2.1175,NA,102.615336085792,0.00212132034355972,NA,TRUE,"25","C14_3_2_o","plate2.2","PASS","C14_3","C14_3_2",25,0,490.233333333333,3
"88","plate2.2_26",588.8,2.106,NA,10.1257691065914,0.0268700576850887,NA,TRUE,"26","A03_3_1_o","plate2.2","PASS","A03_3","A03_3_1",25,0,490.666666666667,3
"89","plate2.2_27",613.84,2.122,NA,78.1211571854898,0.00141421356237325,NA,TRUE,"27","A03_3_3_o","plate2.2","PASS","A03_3","A03_3_3",24.4363352013554,0.563664798644599,500,3
"90","plate2.2_28",652.64,2.139,NA,61.3768686069923,0.00989949493661152,NA,TRUE,"28","X4_32_2_i","plate2.2","PASS","X4_32","X4_32_2",22.9835744054915,2.01642559450846,500,3
"91","plate2.2_29",574.6,2.118,NA,33.1491659020253,0.0381837661840734,NA,TRUE,"29","C14_3_2_i","plate2.2","PASS","C14_3","C14_3_2",25,0,478.833333333333,3
"92","plate2.2_30",1393.72,2.106,NA,39.8242539164265,0.00565685424949239,NA,TRUE,"30","X4_32_3_i","plate2.2","PASS","X4_32","X4_32_3",10.7625634991246,14.2374365008754,500,3
"93","plate2.2_31",1683.4,2.056,NA,47.517575695736,0.026870057685089,NA,TRUE,"31","X4_32_3_o","plate2.2","PASS","X4_32","X4_32_3",8.91053819650707,16.0894618034929,500,3
"94","plate2.2_33",890.4,2.148,NA,3.67695526217008,0.0155563491861039,NA,TRUE,"33","A04_3_2_o","plate2.2","PASS","A04_3","A04_3_2",16.8463611859838,8.15363881401617,500,3
"95","plate2.2_34",967.64,2.158,NA,30.6601500322487,0.00848528137423858,NA,TRUE,"34","C17_2_3_o","plate2.2","PASS","C17_2","C17_2_3",15.501632838659,9.498367161341,500,2
"96","plate2.2_35",917.36,2.1085,NA,3.56381817718017,0.0148492424049177,NA,TRUE,"35","X4_32_1_i","plate2.2","PASS","X4_32","X4_32_1",16.3512688584634,8.64873114153658,500,3
"97","plate2.2_36",278.72,2.103,NA,124.054813691368,0.00989949493661152,NA,TRUE,"36","A04_3_2_i","plate2.2","PASS","A04_3","A04_3_2",25,0,232.266666666667,3
"98","plate2.2_37",422.16,2.1235,NA,23.2496709654137,0.00353553390593266,NA,TRUE,"37","X4_24_1_i","plate2.2","PASS","X4_24","X4_24_1",25,0,351.8,4
"99","plate2.2_39",503.72,2.146,NA,10.1823376490863,0.00424264068711945,NA,TRUE,"39","C14_3_3_o","plate2.2","PASS","C14_3","C14_3_3",25,0,419.766666666667,3
"100","plate2.2_40",785.84,2.1305,NA,9.22067242667255,0.00494974746830592,NA,TRUE,"40","X5_36_3_o","plate2.2","PASS","X5_36","X5_36_3",19.0878550341036,5.91214496589637,500,4
"101","plate2.2_41",531.8,2.1285,NA,1.35764501987814,0.0134350288425442,NA,TRUE,"41","C14_3_1_i","plate2.2","PASS","C14_3","C14_3_1",25,0,443.166666666667,3
"102","plate2.2_42",1064.24,2.123,NA,807.968492454997,0.00707106781186564,NA,TRUE,"42","A04_3_3_o","plate2.2","PASS","A04_3","A04_3_3",14.0945651356837,10.9054348643163,500,3
"103","plate2.2_43",368.76,2.1295,NA,5.7699913344822,0.0134350288425442,NA,TRUE,"43","A27_3_3_i","plate2.2","PASS","A27_3","A27_3_3",25,0,307.3,3
"104","plate2.2_44",240.28,2.131,NA,29.8681904373198,0.014142135623731,NA,TRUE,"44","C14_3_3_i","plate2.2","PASS","C14_3","C14_3_3",25,0,200.233333333333,3
"105","plate2.2_45",530.48,2.094,NA,22.9102597104441,0.0240416305603428,NA,TRUE,"45","A03_3_1_i","plate2.2","PASS","A03_3","A03_3_1",25,0,442.066666666667,3
"106","plate2.2_46",372.4,2.119,NA,2.99813275223097,0.00282842712474619,NA,TRUE,"46","X4_24_2_i","plate2.2","PASS","X4_24","X4_24_2",25,0,310.333333333333,4
"107","plate2.2_47",456.52,2.123,NA,0.905096679918802,0.00424264068711913,NA,TRUE,"47","A03_3_3_i","plate2.2","PASS","A03_3","A03_3_3",25,0,380.433333333333,3
"108","plate2.2_48",1831.88,2.037,NA,10.7480230740356,0.0452548339959391,NA,TRUE,"48","X4_32_1_o","plate2.2","PASS","X4_32","X4_32_1",8.1883092779003,16.8116907220997,500,3
"109","plate2.2_49",331.88,2.14,NA,52.4956074352893,0.0183847763108504,NA,TRUE,"49","A04_3_3_i","plate2.2","PASS","A04_3","A04_3_3",25,0,276.566666666667,3
"110","plate2.3_51",1952.64,2.0135,NA,138.819203282543,0.0120208152801712,NA,TRUE,"51","X4_32_2_o","plate2.3","PASS","X4_32","X4_32_2",7.6819075712881,17.3180924287119,500,3
"111","plate2.3_52",370.48,2.141,NA,67.4297026539492,0.00141421356237294,NA,TRUE,"52","A03_2_1_i","plate2.3","PASS","A03_2","A03_2_1",25,0,308.733333333333,2
"112","plate2.3_54",669.72,2.1065,NA,28.0014285349873,0.0190918830920369,NA,TRUE,"54","C14_2_1_i","plate2.3","PASS","C14_2","C14_2_1",22.3974198172371,2.60258018276295,500,2
"113","plate2.3_55",816.68,2.13,NA,0.282842712474603,0.0113137084989848,NA,TRUE,"55","A27_3_3_o","plate2.3","PASS","A27_3","A27_3_3",18.3670470686193,6.63295293138071,500,3
"114","plate2.3_56",748.36,2.15,NA,6.50538238691627,0.00424264068711945,NA,TRUE,"56","A27_3_2_o","plate2.3","PASS","A27_3","A27_3_2",20.0438291731252,4.95617082687477,500,3
"115","plate2.3_57",791.28,2.1445,NA,13.6895872837716,0.00353553390593266,NA,TRUE,"57","A20_2_2_i","plate2.3","PASS","A20_2","A20_2_2",18.956627236882,6.04337276311799,500,2
"116","plate2.3_58",1113.96,2.1625,NA,38.4100403540532,0.00777817459305211,NA,TRUE,"58","A20_2_1_o","plate2.3","PASS","A20_2","A20_2_1",13.4654745233222,11.5345254766778,500,2
"117","plate2.3_59",893.6,2.096,NA,26.9266262275838,0.0127279220613577,NA,TRUE,"59","X5_66_3_o","plate2.3","PASS","X5_66","X5_66_3",16.7860340196956,8.21396598030438,500,3
"118","plate2.3_60",726.28,2.1365,NA,10.352043276571,0.00777817459305211,NA,TRUE,"60","C14_2_2_o","plate2.3","PASS","C14_2","C14_2_2",20.6531916065429,4.34680839345707,500,2
"119","plate2.3_61",411.04,2.1215,NA,7.12763635436039,0.00494974746830592,NA,TRUE,"61","C17_3_1_i","plate2.3","PASS","C17_3","C17_3_1",25,0,342.533333333333,3
"120","plate2.3_62",954.72,2.118,NA,22.5142799129797,0.0226274169979695,NA,TRUE,"62","C17_3_1_o","plate2.3","PASS","C17_3","C17_3_1",15.7114127702363,9.2885872297637,500,3
"121","plate2.3_63",1077.08,2.144,NA,17.5928167159212,0.00141421356237325,NA,TRUE,"63","A04_2_3_o","plate2.3","PASS","A04_2","A04_2_3",13.9265421324321,11.0734578675679,500,2
"122","plate2.3_64",686.88,2.1485,NA,6.44881384442132,0.00212132034355972,NA,TRUE,"64","C17_3_2_i","plate2.3","PASS","C17_3","C17_3_2",21.8378756114605,3.16212438853949,500,3
"123","plate2.3_65",1039.88,2.151,NA,0.0565685424950331,0.00848528137423858,NA,TRUE,"65","C17_3_2_o","plate2.3","PASS","C17_3","C17_3_2",14.4247413163057,10.5752586836943,500,3
"124","plate2.3_66",767.107,2.165,NA,4.9214631970584,0.00141421356237294,NA,TRUE,"66","X5_66_2_i","plate2.3","PASS","X5_66","X5_66_2",19.5539866016084,5.44601339839162,500,3
"125","plate2.3_67",691.427,2.1745,NA,11.3702770414797,0.00353553390593266,NA,TRUE,"67","X5_66_1_i","plate2.3","PASS","X5_66","X5_66_1",21.6942641811789,3.30573581882107,500,3
"126","plate2.3_68",1133.147,2.175,NA,9.05096679918778,0.00565685424949239,NA,TRUE,"68","C17_3_3_o","plate2.3","PASS","C17_3","C17_3_3",13.2374705135344,11.7625294864656,500,3
