,PlateName,TubeNum,tubeID,SampleID,RNA_extraction_date,Well_concentration_nguL,mean_nguL,mean260.280,genotype
150,Plate2,93,plate2.4_93,A04_2_2_i,23-Jul,427.8,513.36,2.1715,A04_2
151,Plate2,94,plate2.4_94,C14_4_1_o,23-Jul,500,1704.2,2.086,C14_4
152,Plate2,95,plate2.4_95,A03_4_1_o,23-Jul,500,929.2,2.136,A03_4
153,Plate2,96,plate2.4_96,X9_35_2_o,23-Jul,500,1069.2,2.083,X9_35
154,Plate2,97,plate2.4_97,A20_2_2_o,23-Jul,500,1358.04,2.1635,A20_2
155,Plate2,101,plate2.5_101,X2_45_2_o,8/5/23,179.9666667,215.96,2.149,X2_45
156,Plate2,102,plate2.5_102,A03_2_3_i,8/5/23,455.6333333,546.76,2.133,A03_2
157,Plate2,103,plate2.5_103,C14_2_3_i,8/5/23,500,935.52,2.1335,C14_2
158,Plate2,104,plate2.5_104,C14_2_1_i,8/5/23,500,676.08,2.1435,C14_2
159,Plate2,105,plate2.5_105,A20_2_3_o,8/5/23,500,1394.52,2.141,A20_2
160,Plate2,106,plate2.5_106,C14_2_2_i,8/5/23,481.9,578.28,2.1335,C14_2
161,Plate2,108,plate2.5_108,C14_2_3_o,8/5/23,500,763,2.103,C14_2
162,Plate2,109,plate2.5_109,C17_2_2_i,8/5/23,500,836.32,2.11,C17_2
163,Plate2,110,plate2.5_110,A03_2_3_o,8/5/23,500,819.16,2.1415,A03_2
164,Plate2,111,plate2.5_111,X9_35_1_i,8/5/23,500,776.96,2.144,X9_35
165,Plate2,112,plate2.5_112,X2_45_1_i,8/5/23,500,921.88,2.141,X2_45
166,Plate2,113,plate2.5_113,C17_2_3_i,8/5/23,500,1402.76,2.1245,C17_2
167,Plate2,115,plate2.5_115,X2_45_3_o,8/5/23,500,1057.44,2.129,X2_45
168,Plate2,117,plate2.5_117,C17_2_2_o,8/5/23,500,1316.96,2.1195,C17_2
169,Plate2,118,plate2.5_118,C17_3_3_i,8/5/23,500,651.32,2.1245,C17_3
170,Plate2,119,plate2.5_119,X2_45_3_i,8/5/23,374.5333333,449.44,2.1445,X2_45
171,Plate2,120,plate2.5_120,X9_35_1_o,8/5/23,500,1169.24,2.1435,X9_35
172,Plate2,121,plate2.5_121,X2_45_1_o,8/5/23,500,984.44,2.1505,X2_45
173,Plate2,98,plate2.5_98,X2_45_2_i,8/5/23,500,620.52,2.09,X2_45
174,Plate1,40,plate1.2_40,X11_68_2_o,2/22/23,485.25,582.3,2.1695,X11_68
175,Plate1,49,plate1.3_49,C64_1_1_o,3/19/23,354.4,425.28,2.2005,C64_1
176,Plate1,72,plate1.3_72,C64_1_3_i,3/19/23,349.1333333,418.96,2.142,C64_1
177,Plate1,82,plate1.4_82,A27_1_3_o,3/29/23,218.6666667,262.4,2.1655,A27_1
178,Plate1,86,plate1.4_86,X4_46_3_o,3/29/23,500,1078.4,1.965,X4_46
179,Plate2,12,plate2.1_12,X5_36_1_i,6/5/23,459.2333333,551.08,2.165,X5_36
180,Plate2,14,plate2.1_14,A03_4_2_i,6/5/23,481.4333333,577.72,2.1385,A03_4
181,Plate2,15,plate2.1_15,A03_4_3_o,6/5/23,490.2666667,588.32,2.175,A03_4
182,Plate2,23,plate2.1_23,A27_4_3_i,6/5/23,483.7666667,580.52,2.1395,A27_4
183,Plate2,5,plate2.1_5,C64_4_3_i,6/5/23,250.2666667,300.32,2.176,C64_4
184,Plate2,8,plate2.1_8,C14_4_3_o,6/5/23,275.2666667,330.32,2.147,C14_4
185,Plate2,38,plate2.2_38,A04_3_1_o,6/14/23,500,939.52,2.127,A04_3
186,Plate2,53,plate2.3_53,A27_3_1_o,23-Jul,418.2,501.84,2.0845,A27_3
187,Plate2,69,plate2.3_69,A03_3_2_o,23-Jul,500,1034.027,2.1775,A03_3
188,Plate2,107,plate2.5_107,C64_3_2_o,8/5/23,500,1080.2,2.1625,C64_3
189,Plate2,114,plate2.5_114,A03_2_2_o,8/5/23,500,860.56,2.1305,A03_2
190,Plate2,116,plate2.5_116,C64_3_3_i,8/5/23,457.5333333,549.04,2.115,C64_3
191,Plate2,99,plate2.5_99,C17_2_1_i,8/5/23,500,1128.28,2.094,C17_2
