"","Sample_Name","Sample_Title","Isolate","Organism","Cultivar","Development_stage","Collection_date","Geographic_location","Tissue"
"99","TCDM_2_X9_35_2_i","X9_35_2_i","2_i","Manihot esculenta","ITH21F009P035","5 MAP","5/26/22","Ithaca, NY, USA","Storage root inner layer"
"100","TCDM_2_C64_3_1_i","C64_3_1_i","1_i","Manihot esculenta","HIL16C064","5 MAP","5/26/22","Ithaca, NY, USA","Storage root inner layer"
"101","TCDM_2_C14_3_1_o","C14_3_1_o","1_o","Manihot esculenta","HIL16C014","5 MAP","5/26/22","Ithaca, NY, USA"," Storage root outer layer"
"102","TCDM_2_X9_35_2_o","X9_35_2_o","2_o","Manihot esculenta","ITH21F009P035","5 MAP","5/26/22","Ithaca, NY, USA"," Storage root outer layer"
"103","TCDM_2_C64_3_2_o","C64_3_2_o","2_o","Manihot esculenta","HIL16C064","5 MAP","5/26/22","Ithaca, NY, USA"," Storage root outer layer"
"104","TCDM_2_X9_35_1_i","X9_35_1_i","1_i","Manihot esculenta","ITH21F009P035","5 MAP","5/26/22","Ithaca, NY, USA","Storage root inner layer"
"105","TCDM_2_C64_3_3_i","C64_3_3_i","3_i","Manihot esculenta","HIL16C064","5 MAP","5/26/22","Ithaca, NY, USA","Storage root inner layer"
"106","TCDM_2_C17_3_3_i","C17_3_3_i","3_i","Manihot esculenta","HIL16C017","5 MAP","5/26/22","Ithaca, NY, USA","Storage root inner layer"
"107","TCDM_2_X2_24_3_i","X2_24_3_i","3_i","Manihot esculenta","ITH21F002P024","5 MAP","5/27/22","Ithaca, NY, USA","Storage root inner layer"
"108","TCDM_2_X2_24_2_o","X2_24_2_o","2_o","Manihot esculenta","ITH21F002P024","5 MAP","5/27/22","Ithaca, NY, USA"," Storage root outer layer"
"109","TCDM_2_X2_24_1_o","X2_24_1_o","1_o","Manihot esculenta","ITH21F002P024","5 MAP","5/27/22","Ithaca, NY, USA"," Storage root outer layer"
"110","TCDM_2_X10_39_2_i","X10_39_2_i","2_i","Manihot esculenta","ITH21F010P039","5 MAP","5/27/22","Ithaca, NY, USA","Storage root inner layer"
"111","TCDM_2_X2_24_3_o","X2_24_3_o","3_o","Manihot esculenta","ITH21F002P024","5 MAP","5/27/22","Ithaca, NY, USA"," Storage root outer layer"
"112","TCDM_2_X2_24_2_i","X2_24_2_i","2_i","Manihot esculenta","ITH21F002P024","5 MAP","5/27/22","Ithaca, NY, USA","Storage root inner layer"
"113","TCDM_2_X10_39_3_o","X10_39_3_o","3_o","Manihot esculenta","ITH21F010P039","5 MAP","5/27/22","Ithaca, NY, USA"," Storage root outer layer"
"114","TCDM_2_X10_39_2_o","X10_39_2_o","2_o","Manihot esculenta","ITH21F010P039","5 MAP","5/27/22","Ithaca, NY, USA"," Storage root outer layer"
"115","TCDM_2_X2_24_1_i","X2_24_1_i","1_i","Manihot esculenta","ITH21F002P024","5 MAP","5/27/22","Ithaca, NY, USA","Storage root inner layer"
"116","TCDM_2_X10_39_3_i","X10_39_3_i","3_i","Manihot esculenta","ITH21F010P039","5 MAP","5/27/22","Ithaca, NY, USA","Storage root inner layer"
"117","TCDM_2_X5_36_3_i","X5_36_3_i","3_i","Manihot esculenta","ITH21F005P036","5 MAP","5/27/22","Ithaca, NY, USA","Storage root inner layer"
"118","TCDM_2_C64_4_2_i","C64_4_2_i","2_i","Manihot esculenta","HIL16C064","5 MAP","5/27/22","Ithaca, NY, USA","Storage root inner layer"
"119","TCDM_2_C64_4_3_i","C64_4_3_i","3_i","Manihot esculenta","HIL16C064","5 MAP","5/27/22","Ithaca, NY, USA","Storage root inner layer"
"120","TCDM_2_X5_36_2_i","X5_36_2_i","2_i","Manihot esculenta","ITH21F005P036","5 MAP","5/27/22","Ithaca, NY, USA","Storage root inner layer"
"121","TCDM_2_C64_4_1_i","C64_4_1_i","1_i","Manihot esculenta","HIL16C064","5 MAP","5/27/22","Ithaca, NY, USA","Storage root inner layer"
"122","TCDM_2_C14_4_3_o","C14_4_3_o","3_o","Manihot esculenta","HIL16C014","5 MAP","5/27/22","Ithaca, NY, USA"," Storage root outer layer"
"123","TCDM_2_C64_4_2_o","C64_4_2_o","2_o","Manihot esculenta","HIL16C064","5 MAP","5/27/22","Ithaca, NY, USA"," Storage root outer layer"
"124","TCDM_2_C64_4_1_o","C64_4_1_o","1_o","Manihot esculenta","HIL16C064","5 MAP","5/27/22","Ithaca, NY, USA"," Storage root outer layer"
"125","TCDM_2_X5_36_1_i","X5_36_1_i","1_i","Manihot esculenta","ITH21F005P036","5 MAP","5/27/22","Ithaca, NY, USA","Storage root inner layer"
"126","TCDM_2_X5_36_2_o","X5_36_2_o","2_o","Manihot esculenta","ITH21F005P036","5 MAP","5/27/22","Ithaca, NY, USA"," Storage root outer layer"
"127","TCDM_2_A03_4_2_i","A03_4_2_i","2_i","Manihot esculenta","HIL16A003","5 MAP","5/27/22","Ithaca, NY, USA","Storage root inner layer"
"128","TCDM_2_A03_4_3_o","A03_4_3_o","3_o","Manihot esculenta","HIL16A003","5 MAP","5/27/22","Ithaca, NY, USA"," Storage root outer layer"
"129","TCDM_2_A27_4_1_i","A27_4_1_i","1_i","Manihot esculenta","HIL16A027","5 MAP","5/27/22","Ithaca, NY, USA","Storage root inner layer"
"130","TCDM_2_A27_4_2_o","A27_4_2_o","2_o","Manihot esculenta","HIL16A027","5 MAP","5/27/22","Ithaca, NY, USA"," Storage root outer layer"
"131","TCDM_2_X4_42_1_o","X4_24_1_o","1_o","Manihot esculenta","ITH21F004P042","5 MAP","5/27/22","Ithaca, NY, USA"," Storage root outer layer"
"132","TCDM_2_A27_4_2_i","A27_4_2_i","2_i","Manihot esculenta","HIL16A027","5 MAP","5/27/22","Ithaca, NY, USA","Storage root inner layer"
"133","TCDM_2_A27_4_3_i","A27_4_3_i","3_i","Manihot esculenta","HIL16A027","5 MAP","5/27/22","Ithaca, NY, USA","Storage root inner layer"
"134","TCDM_2_X4_42_2_o","X4_24_2_o","2_o","Manihot esculenta","ITH21F004P042","5 MAP","5/27/22","Ithaca, NY, USA"," Storage root outer layer"
"135","TCDM_2_X4_42_1_i","X4_24_1_i","1_i","Manihot esculenta","ITH21F004P042","5 MAP","5/27/22","Ithaca, NY, USA","Storage root inner layer"
"136","TCDM_2_X4_42_2_i","X4_24_2_i","2_i","Manihot esculenta","ITH21F004P042","5 MAP","5/27/22","Ithaca, NY, USA","Storage root inner layer"
"137","TCDM_2_X4_42_3_o","X4_24_3_o","3_o","Manihot esculenta","ITH21F004P042","5 MAP","5/27/22","Ithaca, NY, USA"," Storage root outer layer"
"138","TCDM_2_A03_4_1_i","A03_4_1_i","1_i","Manihot esculenta","HIL16A003","5 MAP","5/27/22","Ithaca, NY, USA","Storage root inner layer"
"139","TCDM_2_X8_37_2_i","X8_37_2_i","2_i","Manihot esculenta","ITH21F008P037","5 MAP","5/27/22","Ithaca, NY, USA","Storage root inner layer"
"140","TCDM_2_X4_42_3_i","X4_24_3_i","3_i","Manihot esculenta","ITH21F004P042","5 MAP","5/27/22","Ithaca, NY, USA","Storage root inner layer"
"141","TCDM_2_X8_37_3_o","X8_37_3_o","3_o","Manihot esculenta","ITH21F008P037","5 MAP","5/27/22","Ithaca, NY, USA"," Storage root outer layer"
