sample_ID,fresh_weight_(g),dry_weight_(g),tube_type,dry_date,notes,DMC_estimate,,block,harvest_date,previous_dry_weight_measurement_(g)
X6_38_3_o,13.36,9.174,orange,8/1/22,,37.62,,3,5/26/22,
X4_46_1_i,13.27,10.285,,7/20/22,,54.91,,3,5/26/22,
X4_46_1_o,11.91,8.761,orange,8/1/22,,40.12,,3,5/26/22,
X4_46_2_i,14.3,9.659,orange,8/1/22,,39.33,,3,5/26/22,
X4_46_2_o,13.59,9.34,orange,8/1/22,,38.76,,3,5/26/22,
X4_46_3_i,14.46,9.701,orange,8/1/22,,39.07,,3,5/26/22,
X4_46_3_o,13.03,9.102,orange,8/1/22,,38.42,,3,5/26/22,
X9_35_1_i,13.75,9.827,orange,8/1/22,,44.75,,3,5/26/22,
X9_35_1_o,13.03,9.029,orange,8/1/22,,37.29,,3,5/26/22,
X9_35_2_i,14.19,9.666,orange,8/1/22,,40,,3,5/26/22,
X9_35_2_o,14.11,9.435,orange,8/1/22,,37.34,,3,5/26/22,
X9_35_3_i,14.05,9.995,orange,8/1/22,,45.2,,3,5/26/22,
X9_35_3_o,13.74,9.241,orange,8/1/22,,36.55,,3,5/26/22,
C64_3_1_i,13.49,9.411,orange,8/1/22,,40.36,,3,5/26/22,
C64_3_1_o,13.08,8.742,orange,8/1/22,,32.53,,3,5/26/22,
C64_3_2_i,14.22,9.752,orange,8/1/22,,40.97,,3,5/26/22,
C64_3_2_o,12.55,8.826,orange,8/1/22,,36.88,,3,5/26/22,
C64_3_3_i,15.12,10.146,orange,8/1/22,,41.27,,3,5/26/22,
C64_3_3_o,13.5,9.038,orange,8/1/22,,34.86,,3,5/26/22,
X2_58_1_i,13.02,9.504,,7/25/22,ground,44.8,,3,5/26/22,
X2_58_1_o,13.95,9.428,,,,38.05,,3,5/26/22,
X2_58_2_i,13.56,9.652,,7/25/22,ground,43.44,,3,5/26/22,
X2_58_2_o,13.67,9.321,,,,38.05,,3,5/26/22,
X2_58_3_i,13.81,9.454,,,,39.16,,3,5/26/22,
X2_58_3_o,12.11,8.303,,,,30.27,,3,5/26/22,
X8_41.5_1_i,14.23,9.713,,7/25/22,ground,40.41,,3,5/26/22,
X8_41.5_1_o,13.49,9.407,,7/25/22,ground,40.31,,3,5/26/22,
X8_41.5_2_i,13.13,8.993,,7/25/22,ground,36.16,,3,5/26/22,
X8_41.5_2_o,13.59,9.327,,7/25/22,ground,38.57,,3,5/26/22,
X8_41.5_3_i,15.16,9.923,,7/25/22,ground,38.46,,3,5/26/22,
X8_41.5_3_o,14.32,9.841,,,,41.6,,3,5/26/22,
A27_3_1_i,14.28,9.623,,7/25/22,ground,38.96,,3,5/26/22,
A27_3_1_o,12.9,9.01,,7/25/22,ground,37.76,,3,5/26/22,
A27_3_2_i,15.13,9.784,orange,7/14/22,,36.96,,3,5/26/22,
A27_3_2_o,14.09,9,,7/25/22,ground,31.59,,3,5/26/22,
A27_3_3_i,14.67,9.837,orange,7/14/22,,39.74,,3,5/26/22,
A27_3_3_o,13.36,8.76,,7/25/22,ground,31.45,,3,5/26/22,
C43_3_1_i,13.7,9.52,orange,7/14/22,,40.71,,3,5/26/22,
C43_3_1_o,11.99,8.214,,7/25/22,ground,29.29,,3,5/26/22,
C43_3_2_i,13.81,9.61,orange,7/14/22,,41.34,,3,5/26/22,
C43_3_2_o,12.16,8.563,orange,7/14/22,,34.72,,3,5/26/22,
C43_3_3_i,13.14,9.284,,7/25/22,ground,40.59,,3,5/26/22,
C43_3_3_o,13.18,8.727,,7/25/22,ground,31.81,,3,5/26/22,
X9_41_1_i,14.94,9.808,,,tubes labeled X9_41 but actual genotype name is X9_49,38.09,,3,5/26/22,9.808
X9_41_1_o,14.46,9.453,,,,35.89,,3,5/26/22,9.453
X9_41_2_i,13.15,9.32,orange,7/14/22,,41.08,,3,5/26/22,9.32
X9_41_2_o,13.09,8.934,,,,35.47,,3,5/26/22,8.934
X9_41_3_i,13.96,9.734,,,,42.19,,3,5/26/22,9.734
X9_41_3_o,13.1,9.272,orange,7/14/22,,40.65,,3,5/26/22,
