"SampleID","meansuc_mg_g","mean_totalsugar","meanglc_mg_g","mean_starch_mg_g","genotype","block","harvest_date","rootnum","layer","year","PlateName"
"C17_1_3_o",18.2626287330487,18.6462974704382,0.3836687373895,682.997750938319,"C17",NA,"","3","o","2022","2021_RNAselected_starch-1"
"C17_1_3_o",18.2626287330487,18.6462974704382,0.3836687373895,682.997750938319,"C17",NA,"","3","o","2022","2021_RNAselected_starch-1"
"C17_2_1_i",14.8972316715408,14.4249097394074,-0.472321932133386,531.788065663701,"C17",2,"25-May","1","i","2022","78-120 rna_green_plates"
"C17_2_1_i",14.8972316715408,14.4249097394074,-0.472321932133386,491.723831537351,"C17",2,"25-May","1","i","2022","78-120_rna_green_plates"
"C17_2_2_i",12.0892050631223,11.3281829316305,-0.76102213149188,738.660894225403,"C17",2,"25-May","2","i","2022","78-120 rna_green_plates"
"C17_2_2_i",12.0892050631223,11.3281829316305,-0.76102213149188,736.846903976956,"C17",2,"25-May","2","i","2022","78-120_rna_green_plates"
"C17_2_2_o",NA,21.8022710311204,NA,815.662104980235,"C17",2,"25-May","2","o","2022","78-120 rna_green_plates"
"C17_2_2_o",NA,21.8022710311204,NA,784.504283381582,"C17",2,"25-May","2","o","2022","78-120_rna_green_plates"
"C17_2_3_i",NA,11.8081416113946,NA,782.53129025601,"C17",2,"25-May","3","i","2022","78-120 rna_green_plates"
"C17_2_3_i",NA,11.8081416113946,NA,748.220222108777,"C17",2,"25-May","3","i","2022","78-120_rna_green_plates"
"C17_2_3_o",19.5551575942283,17.5489989962074,-2.00615859802091,783.55292299759,"C17",2,"25-May","3","o","2022","121-163_rna_green_plates"
"C17_3_1_i",NA,11.2037145997406,NA,591.852833396779,"C17",3,"26-May","1","i","2022","121-163_rna_green_plates"
"C17_3_1_o",27.0669727889426,27.6059022050177,0.538929416075152,675.888864373214,"C17",3,"26-May","1","o","2022","121-163_rna_green_plates"
"C17_3_2_i",NA,13.0697924041269,NA,871.422337415458,"C17",3,"26-May","2","i","2022","121-163_rna_green_plates"
"C17_3_2_o",NA,36.235862637151,NA,694.623742023136,"C17",3,"26-May","2","o","2022","121-163_rna_green_plates"
"C17_3_3_i",6.98933744289067,6.86181491533423,-0.127522527556434,321.267625523389,"C17",3,"26-May","3","i","2022","78-120 rna_green_plates"
