"","Plate Name","tubeID","sample_ID","RNA_extraction_date","Concentration(ng/ul)","mean_nguL","mean260.280","Well","timept","corrected_genotypeID"
"89","CassavaTCDM2_3",414,"218_X8_415_rt3_o",112224,384,384.006226523069,2.07,"A12",4,"X8_41.5"
"90","CassavaTCDM2_3",415,"220_X10_39_rt1_i",112224,133.6,133.56732818534,2.063,"B12",4,"X10_39"
"91","CassavaTCDM2_3",417,"220_X10_39_rt2_i",112424,222,221.981060665593,2.065,"C12",4,"X10_39"
"92","CassavaTCDM2_3",422,"302_C17_rt1_o",112224,376.8,376.805108040514,2.052,"D12",4,"C17"
"93","CassavaTCDM2_3",423,"302_C17_rt2_i",112424,342,341.999702041501,2.0835,"E12",4,"C17"
"94","CassavaTCDM2_3",424,"302_C17_rt2_o",110724,200,199.98,2.105,"F12",4,"C17"
"95","CassavaTCDM2_3",425,"302_C17_rt3_i",112224,342.4,342.399764179421,1.83175,"G12",4,"C17"
"96","CassavaTCDM2_3",427,"304_X5_31_rt1_i",112224,262.8,262.787398733401,2.01,"H12",4,"X5_31"
"97","CassavaTCDM2_4",428,"304_X5_31_rt1_o",112424,338,1367.2,2.087,"A01",4,"X5_31"
"98","CassavaTCDM2_4",432,"304_X5_31_rt3_o",112424,234.4,234.382986941103,2.095,"B01",4,"X5_31"
"99","CassavaTCDM2_4",435,"307_A03_rt2_i",112424,333.6,333.598397145187,2.041,"C01",4,"A03"
"100","CassavaTCDM2_4",437,"307_A03_rt3_i",112224,235.2,235.183111216942,2.1085,"D01",4,"A03"
"101","CassavaTCDM2_4",439,"317_X4_42_rt1_i",112424,340.8,340.799515627742,2.099,"E01",4,"X4_42"
"102","CassavaTCDM2_4",444,"317_X4_42_rt3_o",112224,218.8,218.780563562235,2.0715,"F01",4,"X4_42"
"103","CassavaTCDM2_4",445,"319_X8_37_rt1_i",112424,161.6,161.571677839719,2.067,"G01",4,"X8_37"
"104","CassavaTCDM2_4",446,"319_X8_37_rt1_o",112424,149.2,149.169751564208,2.03,"H01",4,"X8_37"
"105","CassavaTCDM2_4",447,"319_X8_37_rt2_i",112224,166.8,166.772485632675,2.032,"A02",4,"X8_37"
"106","CassavaTCDM2_4",448,"319_X8_37_rt2_o",112024,170.1,744.08,1.853,"B02",4,"X8_37"
"107","CassavaTCDM2_4",450,"319_X8_37_rt3_o",112024,250.7,250.74,2.0915,"C02",4,"X8_37"
"108","CassavaTCDM2_4",453,"402_X11_57_rt2_i",112424,386,386.006537212667,2.053,"D02",4,"X11_57"
"109","CassavaTCDM2_4",459,"403_A20_rt2_i",112224,286.4,286.391064870663,2.058,"E02",4,"A20"
"110","CassavaTCDM2_4",463,"407_X2_24_rt1_i",112424,254.4,254.386093837088,2.055,"F02",4,"X2_24"
"111","CassavaTCDM2_4",465,"407_X2_24_rt2_i",112224,134.6,134.567483530139,2.07,"G02",4,"X2_24"
"112","CassavaTCDM2_4",466,"407_X2_24_rt2_o",112424,350.4,350.401006937815,2.0715,"H02",4,"X2_24"
"113","CassavaTCDM2_4",468,"407_X2_24_rt3_o",112224,381.8,381.805884764511,2.001,"A03",4,"X2_24"
"114","CassavaTCDM2_4",469,"409_X2_45_rt1_i",112224,321.2,321.196470869677,2.013,"B03",4,"X2_45"
"115","CassavaTCDM2_4",471,"409_X2_45_rt2_i",112424,260,259.986963767964,2.05,"C03",4,"X2_45"
"116","CassavaTCDM2_4",473,"409_X2_45_rt3_i",112424,203.6,203.578202321287,2.0825,"D03",4,"X2_45"
"117","CassavaTCDM2_4",474,"409_X2_45_rt3_o",112224,328,327.997527214312,2.058,"E03",4,"X2_45"
"118","CassavaTCDM2_4",479,"418_X5_36_rt3_i",112424,202.8,202.778078045447,2.0675,"F03",4,"X5_36"
"119","CassavaTCDM2_4",480,"418_X5_36_rt3_o",112224,390.6,390.607251798744,2.02875,"G03",4,"X5_36"
"120","CassavaTCDM2_4",455,"402_X11_57_rt3_i",112424,400,403.209209143214,2.067,"H03",4,"X11_57"
"121","CassavaTCDM2_4",440,"317_X4_42_rt1_o",112224,400,405.009488763853,2.05925,"A04",4,"X4_42"
"122","CassavaTCDM2_4",449,"319_X8_37_rt3_i",112424,400,409.21014121201,2.0215,"B04",4,"X8_37"
"123","CassavaTCDM2_4",368,"106_X4_46_rt1_o",112024,400,422.74,2.087,"C04",4,"X4_46"
"124","CassavaTCDM2_4",419,"220_X10_39_rt3_i",112424,400,425.612688866717,2.052,"D04",4,"X10_39"
"125","CassavaTCDM2_4",434,"307_A03_rt1_o",112224,400,437.214490866388,2.0915,"E04",4,"A03"
"126","CassavaTCDM2_4",382,"112_X4_67_rt2_o",110724,400,441.78,2.0855,"F04",4,"X4_67"
"127","CassavaTCDM2_4",430,"304_X5_31_rt2_o",112224,400,446.415920038541,2.0595,"G04",4,"X5_31"
"128","CassavaTCDM2_4",442,"317_X4_42_rt2_o",112024,400,446.74,2.069,"H04",4,"X4_42"
"129","CassavaTCDM2_4",416,"220_X10_39_rt1_o",112024,400,451.46,2.04,"A05",4,"X10_39"
"130","CassavaTCDM2_4",475,"418_X5_36_rt1_i",112424,400,463.618591969088,2.079,"B05",4,"X5_36"
"131","CassavaTCDM2_4",385,"118_C14_rt1_i",112224,400,465.618902658687,2.06625,"C05",4,"C14"
"132","CassavaTCDM2_4",402,"207_A04_rt3_o",110724,400,472.66,2.1065,"D05",4,"A04"
"133","CassavaTCDM2_4",373,"107_X4_32_rt1_i",112024,400,480.78,2.0875,"E05",4,"X4_32"
"134","CassavaTCDM2_4",374,"107_X4_32_rt1_o",110724,400,492.62,2.0985,"F05",4,"X4_32"
"135","CassavaTCDM2_4",364,"105_X5_66_rt2_o",112024,400,500.82,2.103,"G05",4,"X5_66"
"136","CassavaTCDM2_4",386,"118_C14_rt1_o",112024,400,526.74,2.087,"H05",4,"C14"
"137","CassavaTCDM2_4",464,"407_X2_24_rt1_o",112224,400,534.629621449834,2.05375,"A06",4,"X2_24"
"138","CassavaTCDM2_4",400,"207_A04_rt2_o",110724,400,549.94,2.093,"B06",4,"A04"
"139","CassavaTCDM2_4",470,"409_X2_45_rt1_o",112424,400,552.83244872518,2.064,"C06",4,"X2_45"
"140","CassavaTCDM2_4",461,"403_A20_rt3_i",112224,400,576.436114862442,2.0465,"D06",4,"A20"
"141","CassavaTCDM2_4",410,"218_X8_415_rt1_o",112224,400,586.237637241475,1.94725,"E06",4,"X8_41.5"
"142","CassavaTCDM2_4",398,"207_A04_rt1_o",110724,400,607.02,2.1025,"F06",4,"A04"
"143","CassavaTCDM2_4",380,"112_X4_67_rt1_o",112024,400,611.1,2.0905,"G06",4,"X4_67"
"144","CassavaTCDM2_4",451,"402_X11_57_rt1_i",112224,400,626.243851033444,1.91425,"H06",4,"X11_57"
"145","CassavaTCDM2_4",476,"418_X5_36_rt1_o",112224,400,629.644379205762,2.068,"A07",4,"X5_36"
"146","CassavaTCDM2_4",462,"403_A20_rt3_o",112224,400,629.644379205762,2.102,"B07",4,"A20"
"147","CassavaTCDM2_4",436,"307_A03_rt2_o",112424,400,674.851400790687,2.078,"C07",4,"A03"
"148","CassavaTCDM2_4",420,"220_X10_39_rt3_o",112424,400,676.051587204446,2.0865,"D07",4,"X10_39"
"149","CassavaTCDM2_4",452,"402_X11_57_rt1_o",112424,400,677.251773618205,2.087,"E07",4,"X11_57"
"150","CassavaTCDM2_4",378,"107_X4_32_rt3_o",112024,400,707.22,2.052,"F07",4,"X4_32"
"151","CassavaTCDM2_4",478,"418_X5_36_rt2_o",112424,400,718.858235961854,2.0705,"G07",4,"X5_36"
"152","CassavaTCDM2_4",388,"118_C14_rt2_o",112024,400,734.9,2.079,"H07",4,"C14"
"153","CassavaTCDM2_4",413,"218_X8_415_rt3_i",112224,400,747.662709892072,1.9925,"A08",4,"X8_41.5"
"154","CassavaTCDM2_4",418,"220_X10_39_rt2_o",110724,400,769.7,2.027,"B08",4,"X10_39"
"155","CassavaTCDM2_4",412,"218_X8_415_rt2_o",112424,400,798.470601407873,2.051,"C08",4,"X8_41.5"
"156","CassavaTCDM2_4",370,"106_X4_46_rt2_o",112424,400,850.878741475353,2.0725,"D08",4,"X4_46"
"157","CassavaTCDM2_4",454,"402_X11_57_rt2_o",112424,400,888.084520301885,2.077,"E08",4,"X11_57"
"158","CassavaTCDM2_4",310,"303_X11_68_rt2_o",120624,394.7,394.68,2.0565,"F08",3,"X11_68"
"159","CassavaTCDM2_4",395,"205_X1_54_rt3_i",110724,155.5,155.52,2.1325,"G08",4,"X1_54"
"160","CassavaTCDM2_4",431,"304_X5_31_rt3_i",120924,400,485.52,2.0035,"H08",4,"X5_31"
"161","CassavaTCDM2_4",209,"313_X1_54_rt3_i",120924,400,541.2,2.0415,"A09",2,"X1_54"
"162","CassavaTCDM2_4",393,"205_X1_54_rt2_i",112024,400,564.64,2.018,"B09",4,"X1_54"
"163","CassavaTCDM2_4",252,"115_X1_54_rt3_o",120924,400,587.24,2.0235,"C09",3,"X1_54"
"164","CassavaTCDM2_4",112,"417_X1_54_rt2_o",120924,400,624.52,2.115,"D09",1,"X1_54"
"165","CassavaTCDM2_4",347,"411_C17_rt3_i",120624,400,664.32,2.124,"E09",3,"C17"
"166","CassavaTCDM2_4",219,"412_X11_68_rt2_i",120924,400,690.96,1.9645,"F09",2,"X11_68"
"167","CassavaTCDM2_4",NA,NA,NA,0,NA,NA,"G09",NA,NA
"168","CassavaTCDM2_4",403,"210_X11_68_rt1_i",110724,400,717.2,2.037,"H09",4,"X11_68"
"169","CassavaTCDM2_4",125,"101_X2_24_rt3_i",120624,400,734.68,2.0475,"A10",2,"X2_24"
"170","CassavaTCDM2_4",397,"207_A04_rt1_i",112024,400,NA,NA,"B10",4,"A04"
"171","CassavaTCDM2_4",404,"210_X11_68_rt1_o",112424,400,748.52,2.09,"C10",4,"X11_68"
"172","CassavaTCDM2_4",433,"307_A03_rt1_i",112424,400,825.12,2.1395,"D10",4,"A03"
"173","CassavaTCDM2_4",346,"411_C17_rt2_o",120624,400,854.32,2.082,"E10",3,"C17"
"174","CassavaTCDM2_4",456,"402_X11_57_rt3_o",120624,400,857.68,2.0725,"F10",4,"X11_57"
"175","CassavaTCDM2_4",111,"417_X1_54_rt2_i",120624,400,858.68,2.0685,"G10",1,"X1_54"
"176","CassavaTCDM2_4",343,"411_C17_rt1_i",120624,400,863.76,2.075,"H10",3,"C17"
"177","CassavaTCDM2_4",311,"303_X11_68_rt3_i",120924,400,926.88,2.037,"A11",3,"X11_68"
"178","CassavaTCDM2_4",123,"101_X2_24_rt2_i",120624,400,934.48,2.063,"B11",2,"X2_24"
"179","CassavaTCDM2_4",124,"101_X2_24_rt2_o",120624,400,938.08,2.089,"C11",2,"X2_24"
"180","CassavaTCDM2_4",308,"303_X11_68_rt1_o",120924,400,1025.48,1.958,"D11",3,"X11_68"
"181","CassavaTCDM2_4",367,"106_X4_46_rt1_i",112024,400,1073.24,2.05,"E11",4,"X4_46"
"182","CassavaTCDM2_4",89,"320_X2_24_rt3_i",120924,400,1116.44,1.997,"F11",1,"X2_24"
"183","CassavaTCDM2_4",88,"320_X2_24_rt2_o",120924,400,1264.48,2.0345,"G11",1,"X2_24"
"184","CassavaTCDM2_4",38,"206_C17_rt1_o",120924,400,1277.48,2.0445,"H11",1,"C17"
"185","CassavaTCDM2_4",460,"403_A20_rt2_o",120924,400,1305.12,1.849,"A12",4,"A20"
"186","CassavaTCDM2_4",438,"307_A03_rt3_o",112224,400,424.412502452958,2.0885,"B12",4,"A03"
"187","CassavaTCDM2_4",121,"101_X2_24_rt1_i",120624,400,1402.28,2.0375,"C12",2,"X2_24"
"188","CassavaTCDM2_4",426,"302_C17_rt3_o",112224,400,1447.76,2.078,"D12",4,"C17"
"189","CassavaTCDM2_4",458,"403_A20_rt1_o",112224,400,1470.16,2.065,"E12",4,"A20"
"190","CassavaTCDM2_4",472,"409_X2_45_rt2_o",120924,400,1475.84,1.993,"F12",4,"X2_45"
"191","CassavaTCDM2_4",467,"407_X2_24_rt3_i",112224,400,32.3516072916571,1.89,"G12",4,"X2_24"
"192","CassavaTCDM2_4",441,"317_X4_42_rt2_i",112424,400,70.7575725319478,2.016,"H12",4,"X4_42"
