samplenum,sample_ID,timept,harvest_date,plant,root,layer,empty_tube_weight_g,raw_fresh_weight_g,fresh_weight_g,greenhouse_notes,dry_date_out,dry_weight_g,dry_matter%,dry_matter%_complete,Drying_notes,tubeID,corrected_sampleID,corrected_genotypeID
80,316_X4_67_rt1_o,1,5/30/23,316,1,outer,,14.643,14.643,,,9.566,36.43,36.43,,316_X4_67_rt1_o,316_X4_67_rt1_o,X4_67
81,316_X4_67_rt2_i,1,5/30/23,316,2,inner,,10.024,10.024,,,7.931,37.84,37.84,,316_X4_67_rt2_i,316_X4_67_rt2_i,X4_67
82,316_X4_67_rt2_o,1,5/30/23,316,2,outer,,18.179,18.179,,,10.961,37.35,37.35,,316_X4_67_rt2_o,316_X4_67_rt2_o,X4_67
83,316_X4_67_rt3_i,1,5/30/23,316,3,inner,,10.781,10.781,,,8.232,38.19,38.19,,316_X4_67_rt3_i,316_X4_67_rt3_i,X4_67
84,316_X4_67_rt3_o,1,5/30/23,316,3,outer,,17.153,17.153,,,10.584,37.41,37.41,,316_X4_67_rt3_o,316_X4_67_rt3_o,X4_67
85,320_X2_24_rt1_i,1,5/30/23,320,1,inner,,10.926,10.926,,,8.097,33.73,33.73,,320_X2_24_rt1_i,320_X2_24_rt1_i,X2_24
86,320_X2_24_rt1_o,1,5/30/23,320,1,outer,,19.02,19.02,,,10.777,33.33,33.33,,320_X2_24_rt1_o,320_X2_24_rt1_o,X2_24
87,320_X2_24_rt2_i,1,5/30/23,320,2,inner,,11.507,11.507,,,8.368,35.28,35.28,,320_X2_24_rt2_i,320_X2_24_rt2_i,X2_24
88,320_X2_24_rt2_o,1,5/30/23,320,2,outer,,17.618,17.618,,,10.509,35.14,35.14,,320_X2_24_rt2_o,320_X2_24_rt2_o,X2_24
89,320_X2_24_rt3_i,1,5/30/23,320,3,inner,,8.934,8.934,,,7.894,54.33,54.33,,320_X2_24_rt3_i,320_X2_24_rt3_i,X2_24
90,320_X2_24_rt3_o,1,5/30/23,320,3,outer,,17.877,17.877,,,10.732,36.32,36.32,,320_X2_24_rt3_o,320_X2_24_rt3_o,X2_24
91,401_X4_42_rt1_i,1,5/30/23,401,1,inner,,12.226,12.226,,,8.566,34.28,34.28,,401_X4_42_rt1_i,401_X4_42_rt1_i,X4_42
92,401_X4_42_rt1_o,1,5/30/23,401,1,outer,,17.004,17.004,,,10.214,34.38,34.38,,401_X4_42_rt1_o,401_X4_42_rt1_o,X4_42
93,401_X4_42_rt2_i,1,5/30/23,401,2,inner,,12.956,12.956,,,9.037,37.78,37.78,,401_X4_42_rt2_i,401_X4_42_rt2_i,X4_42
94,401_X4_42_rt2_o,1,5/30/23,401,2,outer,,15.983,15.983,,,9.346,28.83,28.83,,401_X4_42_rt2_o,401_X4_42_rt2_o,X4_42
